scenario,seed,user,slot,area,opportunity,completed
static,1000,0,2,1,0,0
static,1000,0,3,1,0,0
static,1000,0,4,1,0,0
static,1000,0,5,4,0,0
static,1000,0,6,1,0,0
static,1000,0,7,16,0,0
static,1000,0,12,1,0,0
static,1000,0,13,48,1,0
static,1000,0,15,1,0,0
static,1000,0,16,32,1,0
static,1000,0,18,4,0,0
static,1000,0,20,64,0,0
static,1000,0,21,24,0,0
static,1000,0,22,4,0,0
static,1000,0,23,1,0,0
static,1000,0,24,1,0,0
static,1000,0,25,32,1,0
static,1000,0,26,40,1,0
static,1000,0,28,1,0,0
static,1000,0,29,40,1,0
static,1000,0,30,1,0,0
static,1000,0,32,4,0,0
static,1000,0,33,1,0,0
static,1000,0,34,4,0,0
static,1000,0,35,1,0,0
static,1000,0,37,1,0,0
static,1000,0,40,1,0,0
static,1000,0,41,4,0,0
static,1000,0,42,4,0,0
static,1000,0,43,4,0,0
static,1000,0,44,1,0,0
static,1000,0,45,16,1,0
static,1000,0,46,48,1,0
static,1000,0,47,4,0,0
static,1000,1,0,4,0,0
static,1000,1,1,4,0,0
static,1000,1,2,1,0,0
static,1000,1,3,64,1,1
static,1000,1,4,8,0,0
static,1000,1,5,1,0,0
static,1000,1,6,4,0,0
static,1000,1,7,4,0,0
static,1000,1,8,4,0,0
static,1000,1,9,1,0,0
static,1000,1,10,1,0,0
static,1000,1,11,4,0,0
static,1000,1,12,4,0,0
static,1000,1,15,1,0,0
static,1000,1,16,1,0,0
static,1000,1,17,48,0,0
static,1000,1,18,4,0,0
static,1000,1,19,4,0,0
static,1000,1,20,24,0,0
static,1000,1,21,1,0,0
static,1000,1,22,1,0,0
static,1000,1,23,4,0,0
static,1000,1,24,1,0,0
static,1000,1,26,1,0,0
static,1000,1,27,4,0,0
static,1000,1,28,4,0,0
static,1000,1,29,4,0,0
static,1000,1,30,1,0,0
static,1000,1,32,4,0,0
static,1000,1,33,4,0,0
static,1000,1,34,1,0,0
static,1000,1,35,1,0,0
static,1000,1,37,1,0,0
static,1000,1,38,4,1,0
static,1000,1,39,32,0,0
static,1000,1,41,4,0,0
static,1000,1,43,4,0,0
static,1000,1,44,1,0,0
static,1000,1,45,1,0,0
static,1000,1,47,4,0,0
static,1000,2,0,1,0,0
static,1000,2,1,1,0,0
static,1000,2,2,1,0,0
static,1000,2,5,4,0,0
static,1000,2,7,1,0,0
static,1000,2,8,1,0,0
static,1000,2,9,1,0,0
static,1000,2,11,4,0,0
static,1000,2,12,8,1,0
static,1000,2,13,16,1,0
static,1000,2,14,4,0,0
static,1000,2,15,16,0,0
static,1000,2,16,24,1,1
static,1000,2,17,1,0,0
static,1000,2,18,16,0,0
static,1000,2,20,24,0,0
static,1000,2,21,1,0,0
static,1000,2,23,4,0,0
static,1000,2,24,1,0,0
static,1000,2,25,4,0,0
static,1000,2,26,4,0,0
static,1000,2,28,1,0,0
static,1000,2,29,40,0,0
static,1000,2,30,1,0,0
static,1000,2,31,4,0,0
static,1000,2,33,4,0,0
static,1000,2,34,1,0,0
static,1000,2,35,4,0,0
static,1000,2,37,1,0,0
static,1000,2,38,1,0,0
static,1000,2,39,1,0,0
static,1000,2,40,1,0,0
static,1000,2,44,1,0,0
static,1000,2,45,16,0,0
static,1000,2,46,1,0,0
static,1000,2,47,1,0,0
static,1000,3,1,1,0,0
static,1000,3,2,4,0,0
static,1000,3,3,16,0,0
static,1000,3,4,8,0,0
static,1000,3,5,40,0,0
static,1000,3,6,36,1,1
static,1000,3,7,16,0,0
static,1000,3,8,1,0,0
static,1000,3,9,1,0,0
static,1000,3,11,16,0,0
static,1000,3,12,4,0,0
static,1000,3,13,40,0,0
static,1000,3,14,1,0,0
static,1000,3,15,4,0,0
static,1000,3,17,8,0,0
static,1000,3,19,24,0,0
static,1000,3,21,4,0,0
static,1000,3,22,1,0,0
static,1000,3,24,1,0,0
static,1000,3,25,4,0,0
static,1000,3,26,48,0,0
static,1000,3,31,4,0,0
static,1000,3,32,4,0,0
static,1000,3,34,1,0,0
static,1000,3,36,4,1,0
static,1000,3,37,16,1,0
static,1000,3,39,1,0,0
static,1000,3,40,16,0,0
static,1000,3,42,36,0,0
static,1000,3,43,4,0,0
static,1000,3,46,56,0,0
static,1001,0,0,4,1,0
static,1001,0,3,24,0,0
static,1001,0,4,4,0,0
static,1001,0,6,1,0,0
static,1001,0,7,4,0,0
static,1001,0,8,1,0,0
static,1001,0,9,4,0,0
static,1001,0,11,1,0,0
static,1001,0,12,1,0,0
static,1001,0,13,1,0,0
static,1001,0,14,1,0,0
static,1001,0,15,1,0,0
static,1001,0,16,1,0,0
static,1001,0,17,16,0,0
static,1001,0,18,4,0,0
static,1001,0,20,32,0,0
static,1001,0,21,24,0,0
static,1001,0,22,1,0,0
static,1001,0,23,1,0,0
static,1001,0,24,4,0,0
static,1001,0,25,4,0,0
static,1001,0,27,8,0,0
static,1001,0,28,1,0,0
static,1001,0,29,24,0,0
static,1001,0,31,1,0,0
static,1001,0,33,4,0,0
static,1001,0,34,1,0,0
static,1001,0,35,4,0,0
static,1001,0,36,4,0,0
static,1001,0,41,4,0,0
static,1001,0,42,1,0,0
static,1001,0,43,1,0,0
static,1001,0,44,4,0,0
static,1001,0,45,1,0,0
static,1001,0,47,4,0,0
static,1001,1,0,32,0,0
static,1001,1,1,1,0,0
static,1001,1,2,16,1,1
static,1001,1,3,1,0,0
static,1001,1,5,1,0,0
static,1001,1,6,16,0,0
static,1001,1,7,4,0,0
static,1001,1,10,1,0,0
static,1001,1,11,4,0,0
static,1001,1,13,8,0,0
static,1001,1,14,4,1,0
static,1001,1,15,4,0,0
static,1001,1,16,4,0,0
static,1001,1,17,4,0,0
static,1001,1,18,4,0,0
static,1001,1,21,1,0,0
static,1001,1,22,16,0,0
static,1001,1,23,1,0,0
static,1001,1,24,1,0,0
static,1001,1,25,1,0,0
static,1001,1,27,4,0,0
static,1001,1,28,16,0,0
static,1001,1,31,1,0,0
static,1001,1,34,1,0,0
static,1001,1,36,1,0,0
static,1001,1,38,1,0,0
static,1001,1,39,1,0,0
static,1001,1,40,32,1,1
static,1001,1,41,4,0,0
static,1001,1,42,16,0,0
static,1001,1,43,4,0,0
static,1001,1,44,48,1,1
static,1001,1,45,1,0,0
static,1001,1,47,16,1,1
static,1001,2,0,1,0,0
