condition,method,param,side,n_clusters,hit,hit_low,hit_high,peak,peak_low,peak_high,covered95,covered95_low,covered95_high,error_cells,error_cells_low,error_cells_high,logloss,logloss_low,logloss_high,ece,ece_low,ece_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,gate_us_p95,gate_us_p95_low,gate_us_p95_high,utility,utility_low,utility_high
informed_alpha_model_0.3_none,none,1.0,8.0,10,0.17042732173855027,0.135234460073417,0.21072523001509408,0.16569165959106774,0.1408999078222434,0.18805149269105,0.9661458333333333,0.9505208333333333,0.9791666666666667,1.9052269384374738,1.7309239916157488,2.0685701647892434,2.9001212129261082,2.733073109862572,3.0529625536458274,0.13348778101579198,0.11216563429678801,0.16027038440197888,2.2385,2.2260346875,2.2510359375,2.69791625,2.5655027812499998,2.8963237812499996,1.0,1.0,1.0
informed_alpha_model_0.3_random,random,0.5,8.0,10,0.06855663741320257,0.0507048110698795,0.08683715183272968,0.08583517352299262,0.07082824161688402,0.10050094901713075,0.9515625,0.9333333333333333,0.9692708333333332,2.8427241783249153,2.655005637477159,3.036709765444391,3.5313578722273413,3.453434518028093,3.611374848109921,0.07427006480645124,0.059973640467334666,0.08812159687582513,2.281225,2.2422490625000004,2.3144884374999997,2.7154374999999997,2.6548081249999997,2.7702297500000004,0.4782608695652174,0.4260766745005875,0.529802560047445
informed_alpha_model_0.3_bsp,bsp,0.1,8.0,10,0.09792806118379455,0.07156847175719247,0.12838812809587996,0.08341513749584964,0.07705999931652521,0.08889154758745425,0.9624999999999998,0.9406119791666667,0.9796875,2.4753238524713326,2.185079661298559,2.82781771191265,3.280810889580104,3.1745884812241023,3.391893336626315,0.09041447450321792,0.0707579479858873,0.11340860865018913,17.9916625,17.917223437500002,18.08026625,19.61345375,18.979487843749993,20.374644625,0.5507246376811594,0.4583333333333333,0.6370385304659498
informed_alpha_model_0.9_none,none,1.0,8.0,10,0.17042732173855027,0.135234460073417,0.21072523001509408,0.16569165959106774,0.1408999078222434,0.18805149269105,0.9661458333333333,0.9505208333333333,0.9791666666666667,1.9052269384374738,1.7309239916157488,2.0685701647892434,2.9001212129261082,2.733073109862572,3.0529625536458274,0.13348778101579198,0.11216563429678801,0.16027038440197888,2.3151625,2.3001734375000003,2.3332640624999996,2.73424125,2.6240997499999996,2.88696821875,1.0,1.0,1.0
informed_alpha_model_0.9_random,random,0.5,8.0,10,0.06855663741320257,0.0507048110698795,0.08683715183272968,0.08583517352299262,0.07082824161688402,0.10050094901713075,0.9515625,0.9333333333333333,0.9692708333333332,2.8427241783249153,2.655005637477159,3.036709765444391,3.5313578722273413,3.453434518028093,3.611374848109921,0.07427006480645124,0.059973640467334666,0.08812159687582513,2.3082749999999996,2.2957746875,2.3212131250000003,2.666805,2.6240416250000003,2.72847409375,0.4782608695652174,0.4260766745005875,0.529802560047445
informed_alpha_model_0.9_bsp,bsp,0.1,8.0,10,0.057064345906016764,0.03612101888346612,0.08003597548614323,0.0638850840312353,0.0616157799379477,0.06645045918860651,0.95625,0.9354166666666666,0.9750130208333333,2.9236475305979934,2.7074355741701175,3.1464651346941683,3.4299037877562655,3.3299752788945867,3.505218446126518,0.06278989295998608,0.04938988036186102,0.07650050264748866,18.4052,18.350976874999997,18.458887812500002,19.384857500000003,19.225174,19.55458078125,0.463768115942029,0.34397142857142854,0.562511574074074
informed_move_model_0.05_none,none,1.0,8.0,10,0.17042732173855027,0.135234460073417,0.21072523001509408,0.16569165959106774,0.1408999078222434,0.18805149269105,0.9661458333333333,0.9505208333333333,0.9791666666666667,1.9052269384374738,1.7309239916157488,2.0685701647892434,2.9001212129261082,2.733073109862572,3.0529625536458274,0.13348778101579198,0.11216563429678801,0.16027038440197888,2.3864624999999995,2.35437375,2.4156240624999996,2.8555124999999997,2.709249375,3.0615185625,1.0,1.0,1.0
informed_move_model_0.05_random,random,0.5,8.0,10,0.06855663741320257,0.0507048110698795,0.08683715183272968,0.08583517352299262,0.07082824161688402,0.10050094901713075,0.9515625,0.9333333333333333,0.9692708333333332,2.8427241783249153,2.655005637477159,3.036709765444391,3.5313578722273413,3.453434518028093,3.611374848109921,0.07427006480645124,0.059973640467334666,0.08812159687582513,2.2916499999999997,2.272326875,2.3150628125000003,2.6246924999999997,2.5546324375,2.7176648437499997,0.4782608695652174,0.4260766745005875,0.529802560047445
informed_move_model_0.05_bsp,bsp,0.1,8.0,10,0.03759820007268344,0.02334806338590518,0.05608372217450704,0.061828565352355626,0.057207075552978576,0.06594029775469018,0.9442708333333334,0.9161458333333334,0.9703255208333335,3.2342735392279396,2.8257270759434756,3.62339651864301,3.5783583240237333,3.4506862015755395,3.7101441351517237,0.05271700552080383,0.04295154872443019,0.06460567764805397,17.953599999999998,17.930161875,17.9875359375,18.90297125,18.794469593749998,19.035019406249997,0.45652173913043476,0.31993650793650796,0.5811373873873873
informed_move_model_0.8_none,none,1.0,8.0,10,0.17042732173855027,0.135234460073417,0.21072523001509408,0.16569165959106774,0.1408999078222434,0.18805149269105,0.9661458333333333,0.9505208333333333,0.9791666666666667,1.9052269384374738,1.7309239916157488,2.0685701647892434,2.9001212129261082,2.733073109862572,3.0529625536458274,0.13348778101579198,0.11216563429678801,0.16027038440197888,2.31445,2.2957246875,2.3379256250000005,2.6783875,2.59547590625,2.786409375,1.0,1.0,1.0
