hit,error_cells,peak,logloss,covered95,credible95,entropy,seed,user,scenario,condition,method,param,attack,side,prior_hit,legitimate,opportunities,complete,reports,utility,raw_completion,coverage,reward,latency_slots,gate_us_p50,gate_us_p95,cap_violations,alpha_true,alpha_model,move_model
0.45401192632850235,0.8445876982941143,0.23486024247039758,1.5879955355582682,1.0,9.020833333333334,2.837863544394694,10,0,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,3,3,4,1.0,0.08333333333333333,1.0,3,1.0,2.333,3.5606499999999994,0,0.6480000000000001,0.6480000000000001,0
0.08393755041302048,2.590761993647043,0.23017384774758176,2.5125771174109484,1.0,18.729166666666668,3.5141874006375864,10,1,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,3,3,6,1.0,0.08333333333333333,1.0,3,1.0,2.25,3.0794999999999995,0,0.6480000000000001,0.6480000000000001,0
0.005975717447756921,3.719420834262546,0.07614135500417664,3.6888167131965974,1.0,37.645833333333336,5.060204607025991,10,2,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,2,2,2,1.0,0.05555555555555555,1.0,2,1.0,2.25,2.7874999999999996,0,0.6480000000000001,0.6480000000000001,0
0.12283887987012986,1.123197178395838,0.26655173418692746,1.9455946008017833,1.0,9.416666666666666,2.7865400440397696,10,3,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,7,7,9,1.0,0.19444444444444445,1.0,7,1.0,2.1665,2.7482499999999996,0,0.6480000000000001,0.6480000000000001,0
0.16448055625761696,2.0558216109668703,0.08951059335394347,2.6305070370455845,1.0,32.916666666666664,4.671400708517248,11,0,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,3,3,3,1.0,0.08333333333333333,1.0,3,1.0,2.2705,2.7209499999999998,0,0.6480000000000001,0.6480000000000001,0
0.33702859828205156,3.316123525080249,0.26275966292264125,2.506643522063663,1.0,26.854166666666668,3.825773583747544,11,1,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,3,3,4,1.0,0.08333333333333333,1.0,3,1.0,2.292,2.77665,0,0.6480000000000001,0.6480000000000001,0
0.05012212254110323,3.845058109731069,0.05348010562058917,3.5196531155789503,1.0,39.833333333333336,5.0928239590661795,11,2,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,2,2,3,1.0,0.05555555555555555,1.0,2,1.0,2.375,3.6897999999999995,0,0.6480000000000001,0.6480000000000001,0
0.47435628208919267,1.038773960956784,0.3031891307786157,1.6966214360208152,1.0,15.625,3.1320576887129055,11,3,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,6,6,7,1.0,0.16666666666666666,1.0,6,1.0,2.3125,2.6523,0,0.6480000000000001,0.6480000000000001,0
0.00034722222222222224,1.6292708431537222,0.3805939118738568,2.4648964036335257,0.9583333333333334,11.770833333333334,2.630499489653317,12,0,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,5,5,7,1.0,0.1388888888888889,1.0,5,1.0,2.375,3.5396,0,0.6480000000000001,0.6480000000000001,0
0.25161210317460325,1.703311965700513,0.1709617051153882,2.2567066705006407,1.0,29.5,4.110791566884813,12,1,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,3,3,6,1.0,0.08333333333333333,1.0,3,1.0,2.3125,2.77555,0,0.6480000000000001,0.6480000000000001,0
0.49608100868112315,1.3974129453892432,0.3915315110975171,1.7341889851334285,1.0,13.604166666666666,2.6349357571168697,12,2,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,5,5,6,1.0,0.1388888888888889,1.0,5,1.0,2.25,2.6523,0,0.6480000000000001,0.6480000000000001,0
0.17647953897953897,2.4159380181055177,0.12020159497007772,2.4452018448299135,1.0,24.895833333333332,4.184735864126679,12,3,static,static_fixed_none_1,none,1,fixed,8,0.015625,36,3,3,3,1.0,0.08333333333333333,1.0,3,1.0,2.167,2.5129499999999996,0,0.6480000000000001,0.6480000000000001,0
0.0008869263285024154,2.385287573932453,0.028032866876434137,3.800019350482645,1.0,48.5,5.622527698018008,10,0,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,3,0,1,0.0,0.0,0.0,0,1.0,2.2705,2.9835499999999997,0,0.6480000000000001,0.6480000000000001,0
0.002224211668431735,6.425579918720487,0.023214851454867794,4.22146257427083,1.0,59.8125,5.963714638027305,10,1,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,3,0,0,0.0,0.0,0.0,0,nan,2.375,2.8193,0,0.6480000000000001,0.6480000000000001,0
0.004373153345192819,3.4338027149485533,0.0222977854524093,4.1136300649907875,1.0,59.3125,5.967756801698513,10,2,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,2,0,0,0.0,0.0,0.0,0,nan,2.417,2.709,0,0.6480000000000001,0.6480000000000001,0
0.026633522727272724,1.7865163618367086,0.14257469078430068,2.2714699851340683,1.0,11.770833333333334,3.3061197998259906,10,3,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,7,3,3,0.42857142857142855,0.08333333333333333,1.0,3,1.0,2.3545,3.31655,0,0.6480000000000001,0.6480000000000001,0
0.05169343018924089,3.2507655477196695,0.024546416301553502,3.8054406614170304,1.0,59.020833333333336,5.938802466817339,11,0,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,3,0,0,0.0,0.0,0.0,0,nan,2.1875,2.6103,0,0.6480000000000001,0.6480000000000001,0
0.28378785754131086,2.469087642630219,0.10964943112211976,3.118211326218096,1.0,41.333333333333336,4.6479919886025,11,1,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,3,2,2,0.6666666666666666,0.05555555555555555,1.0,2,1.0,2.25,2.55395,0,0.6480000000000001,0.6480000000000001,0
0.012423709842690528,4.633608680223001,0.019702152156565778,4.075367542996905,1.0,59.708333333333336,5.96876216641035,11,2,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,2,1,1,0.5,0.027777777777777776,1.0,1,1.0,2.125,2.48565,0,0.6480000000000001,0.6480000000000001,0
0.2035229487558593,1.3096072942901174,0.0790678190026702,2.735437608040689,1.0,21.020833333333332,4.2214357363804575,11,3,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,6,2,2,0.3333333333333333,0.05555555555555555,1.0,2,1.0,2.167,2.87085,0,0.6480000000000001,0.6480000000000001,0
0.00034722222222222224,2.740375828272161,0.05886514021724388,3.1554905336658123,1.0,24.5625,4.533122060439106,12,0,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,5,2,3,0.4,0.05555555555555555,1.0,2,1.0,2.167,2.61065,0,0.6480000000000001,0.6480000000000001,0
0.11619543650793657,2.0991112768965805,0.02796600182958289,3.684473974982702,1.0,46.916666666666664,5.613779883002355,12,1,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,3,0,1,0.0,0.0,0.0,0,1.0,2.1045,2.4709499999999998,0,0.6480000000000001,0.6480000000000001,0
0.4861111111111111,2.827633807533104,0.28438151954102736,2.2467671777702485,1.0,26.729166666666668,3.2208200844122037,12,2,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,5,3,4,0.6,0.08333333333333333,1.0,3,1.0,2.083,2.44365,0,0.6480000000000001,0.6480000000000001,0
0.028211805555555552,6.783660116277692,0.036381169416053925,3.8586313057220174,1.0,55.104166666666664,5.703958508103551,12,3,static,static_fixed_random_0.25,random,0.25,fixed,8,0.015625,36,3,1,1,0.3333333333333333,0.027777777777777776,1.0,1,1.0,2.0835,2.333,0,0.6480000000000001,0.6480000000000001,0
0.051623675872817736,3.54753174970094,0.02899485731353203,3.598814291420201,1.0,51.083333333333336,5.6624917128456325,10,0,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,3,1,1,0.3333333333333333,0.027777777777777776,1.0,1,1.0,2.292,3.1502,0,0.6480000000000001,0.6480000000000001,0
0.12650988102440008,2.9290559634291107,0.037123785734389125,3.4038758590761877,1.0,54.416666666666664,5.763781507028132,10,1,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,3,0,0,0.0,0.0,0.0,0,nan,2.375,3.9584499999999987,0,0.6480000000000001,0.6480000000000001,0
0.025412694406177872,4.44446708896078,0.020869919725272038,3.873950025411858,1.0,56.5,5.849534074549435,10,2,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,2,0,0,0.0,0.0,0.0,0,nan,2.3955,2.7353,0,0.6480000000000001,0.6480000000000001,0
0.028279799628560254,3.013369893236599,0.027133511122622272,3.7008480710183744,1.0,42.833333333333336,5.406127021782701,10,3,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,7,2,2,0.2857142857142857,0.05555555555555555,1.0,2,1.0,2.25,2.58365,0,0.6480000000000001,0.6480000000000001,0
0.04619061936287038,3.8845498190209775,0.02724070235896398,3.675866685354531,1.0,53.75,5.76850297694089,11,0,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,3,0,0,0.0,0.0,0.0,0,nan,2.292,2.6103,0,0.6480000000000001,0.6480000000000001,0
0.169757326007326,3.604536611387512,0.14942982510016153,3.0672882496266856,1.0,37.75,4.427231241695774,11,1,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,3,1,1,0.3333333333333333,0.027777777777777776,1.0,1,1.0,2.2705,2.61065,0,0.6480000000000001,0.6480000000000001,0
0.018869149476360186,4.610678521117765,0.017545730830445097,4.0450033124244555,1.0,57.583333333333336,5.935750234393407,11,2,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,2,0,0,0.0,0.0,0.0,0,nan,2.292,2.7622999999999998,0,0.6480000000000001,0.6480000000000001,0
0.040687795642664615,2.907434868303607,0.03518609638872571,3.5832063666074916,1.0,41.833333333333336,5.311756414928223,11,3,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,6,2,2,0.3333333333333333,0.05555555555555555,1.0,2,1.0,2.25,2.6376,0,0.6480000000000001,0.6480000000000001,0
0.06290851559873299,3.499660160889693,0.038080590407660896,3.3427968390104947,1.0,33.75,5.101195455566012,12,0,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,5,1,1,0.2,0.027777777777777776,1.0,1,1.0,2.2705,2.7874999999999996,0,0.6480000000000001,0.6480000000000001,0
0.020833333333333332,4.336619333388247,0.047155318573189886,3.7848759240263057,1.0,52.75,5.586764961976734,12,1,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,3,0,0,0.0,0.0,0.0,0,nan,2.2085,2.6372999999999998,0,0.6480000000000001,0.6480000000000001,0
0.14583333333333334,2.5992051071133417,0.16131577391532392,2.6156909697871202,1.0,27.333333333333332,3.6093779910904273,12,2,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,5,2,2,0.4,0.05555555555555555,1.0,2,1.0,2.2915,2.7773,0,0.6480000000000001,0.6480000000000001,0
