hit,error_cells,peak,logloss,covered95,credible95,entropy,ece,error_m,seed,user,scenario,condition,method,param,attack,side,prior_hit,legitimate,opportunities,complete,reports,utility,raw_completion,coverage,reward,latency_slots,gate_us_p50,gate_us_p95,cap_violations,alpha_true,alpha_model,move_model
0.015625,4.373444242819423,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,4373.444242819418,1000,0,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,34,7,0,6,0.0,0.0,0.0,0,1.0,13.687999999999999,19.75,0,0.6480000000000001,0.6480000000000001,0
0.015625,3.3128527937038714,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,3312.852793703871,1000,1,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,40,2,1,4,0.5,0.025,1.0,1,1.0,13.833,17.14815,0,0.6480000000000001,0.6480000000000001,0
0.015625,4.373444242819423,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,4373.444242819418,1000,2,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,36,3,0,10,0.0,0.0,0.0,0,1.0,13.625,17.5522,0,0.6480000000000001,0.6480000000000001,0
0.015625,3.3128527937038714,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,3312.852793703871,1000,3,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,31,3,0,10,0.0,0.0,0.0,0,1.0,13.208,15.54835,0,0.6480000000000001,0.6480000000000001,0
0.015625,3.3128527937038714,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,3312.852793703871,1001,0,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,35,1,0,11,0.0,0.0,0.0,0,1.0,12.9165,14.2182,0,0.6480000000000001,0.6480000000000001,0
0.015625,3.3128527937038714,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,3312.852793703872,1001,1,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,34,5,0,7,0.0,0.0,0.0,0,1.0,12.771,15.401649999999997,0,0.6480000000000001,0.6480000000000001,0
0.015625,4.347752156636803,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,4347.752156636802,1001,2,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,36,4,0,9,0.0,0.0,0.0,0,1.0,13.3335,15.674899999999997,0,0.6480000000000001,0.6480000000000001,0
0.015625,3.9474873523114127,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,3947.4873523114097,1001,3,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,32,5,0,8,0.0,0.0,0.0,0,1.0,13.5415,22.556249999999995,0,0.6480000000000001,0.6480000000000001,0
0.015625,4.373444242819423,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,4373.444242819418,1002,0,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,43,5,0,4,0.0,0.0,0.0,0,1.0,13.833,23.271049999999995,0,0.6480000000000001,0.6480000000000001,0
0.015625,3.3128527937038714,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,3312.852793703872,1002,1,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,35,6,0,10,0.0,0.0,0.0,0,1.0,12.4375,14.710199999999999,0,0.6480000000000001,0.6480000000000001,0
0.015625,3.9474873523114127,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,3947.4873523114097,1002,2,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,39,3,0,7,0.0,0.0,0.0,0,1.0,12.4165,13.45,0,0.6480000000000001,0.6480000000000001,0
0.015625,3.3128527937038714,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,3312.852793703871,1002,3,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,35,6,0,8,0.0,0.0,0.0,0,1.0,12.417,13.84355,0,0.6480000000000001,0.6480000000000001,0
0.015625,3.093908146468324,0.015625,4.158883083359675,1.0,61.0,6.0,0.0,3093.9081464683277,1003,0,static,static_adaptive_pml_0.025,pml,0.025,adaptive,8,0.015625,38,5,0,7,0.0,0.0,0.0,0,1.0,12.5,13.429599999999999,0,0.6480000000000001,0.6480000000000001,0
