user,no_output_hit
2,0.0
3,0.0
4,0.5625
7,0.4791666666666667
8,0.10416666666666667
9,0.0
12,0.14583333333333334
13,0.3333333333333333
14,0.9166666666666666
17,0.0
18,0.0
19,0.0
22,0.7291666666666666
23,1.0
24,1.0
27,0.75
28,0.375
29,0.0
32,1.0
33,1.0
34,0.041666666666666664
37,0.0
38,0.25
39,0.4791666666666667
42,0.0
43,0.22916666666666666
44,1.0
52,0.0
54,0.0
58,0.0
59,0.0
62,0.020833333333333332
64,0.08333333333333333
67,1.0
68,0.0
69,0.041666666666666664
73,0.0
74,0.0
78,0.2708333333333333
79,0.0
82,0.0
83,0.0
84,0.14583333333333334
88,0.0
89,0.0
102,0.9375
103,0.7708333333333334
104,0.125
112,1.0
113,0.0
119,0.0
122,0.0
128,0.0
129,0.041666666666666664
138,0.0
142,0.0
144,0.0
147,0.0
153,0.0
159,1.0
163,0.0
167,0.3333333333333333
168,0.0
169,0.08333333333333333
174,1.0
177,0.0
179,0.0
