scenario,area_low,area_high,tasks,opportunities,completed,retention
static,1,8,2222,55,0,0.0
static,9,31,313,53,22,0.41509433962264153
static,32,64,344,169,113,0.6686390532544378
walk,1,8,2222,63,0,0.0
walk,9,31,313,53,13,0.24528301886792453
walk,32,64,344,164,124,0.7560975609756098
commute,1,8,2222,57,0,0.0
commute,9,31,313,45,22,0.4888888888888889
commute,32,64,344,157,119,0.7579617834394905
geolife,1,8,1829,49,0,0.0
geolife,9,31,274,59,18,0.3050847457627119
geolife,32,64,281,149,109,0.7315436241610739
