condition,mismatch,method,param,n_seeds,n_trajectories,robust_model_count,hit,hit_low,hit_high,peak,peak_low,peak_high,logloss,logloss_low,logloss_high,utility,utility_low,utility_high,raw_completion,raw_completion_low,raw_completion_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,attacker_local_violation_rate,attacker_local_violation_rate_low,attacker_local_violation_rate_high,attacker_absolute_violation_rate,attacker_absolute_violation_rate_low,attacker_absolute_violation_rate_high,client_violation_rate,client_violation_rate_low,client_violation_rate_high
robust_nominal_bsp_0.05,nominal,bsp,0.05,20,80,0,0.034642753802910056,0.0237642337859623,0.04658707456235532,0.039915492717486414,0.03936013545781183,0.04062639399274126,3.6629039010554636,3.599767721031578,3.7203147430766483,0.3285198555956679,0.2753484898771988,0.3862899762457558,0.031111838722666662,0.025613886910954533,0.03686422936139525,51.683693749999996,50.91362484375,53.08830999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_nominal_rbsp_0.05,nominal,rbsp,0.05,20,80,9,0.031140382151124336,0.021769915222490905,0.0411305687313988,0.03169784121935536,0.030692626921977446,0.032939055715571576,3.801315655005837,3.7369202256055676,3.854007055305513,0.19494584837545126,0.14538435140700068,0.25,0.018222071644920557,0.013358042506643268,0.0232734948776772,423.3726,421.72762390624996,424.87966390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_nominal_bsp_0.1,nominal,bsp,0.1,20,80,0,0.06270682263058776,0.04602193561884173,0.0797817587143759,0.06719509547405747,0.06522247986843088,0.06943231712037223,3.388592419773797,3.3119244746042447,3.465596480382881,0.5090252707581228,0.4492679680567879,0.5622756475282342,0.04811523296057564,0.041952199828514836,0.053779605170440926,50.73001875,50.472945625,50.989805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_nominal_rbsp_0.1,nominal,rbsp,0.1,20,80,9,0.03467224508429146,0.02628912814529978,0.04392625247428714,0.050590346057622596,0.04813660943920885,0.053303710005325876,3.5731888537790333,3.4915256960303465,3.6473533981627604,0.3971119133574007,0.3224616259872384,0.47213239138011154,0.03697944941868316,0.03026289890253386,0.043421407968179886,422.42853125,420.3026637500001,424.7533775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_nominal_bsp_0.2,nominal,bsp,0.2,20,80,0,0.0884621988913351,0.07231804624132307,0.1068403205977531,0.09909819382162872,0.0947435919084838,0.10442115281605067,3.2630562540498156,3.1535689079553495,3.363091760458138,0.6931407942238267,0.6630026455026454,0.7243880268346392,0.06574463601683156,0.059837792571852386,0.07203212349234261,50.68619375,50.56097671875,50.829116875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_nominal_rbsp_0.2,nominal,rbsp,0.2,20,80,9,0.07271784125244621,0.0509459284324121,0.09838342697777355,0.07470019285479115,0.07051281944754041,0.07918091419463086,3.343258269367861,3.237193951226963,3.439727273577092,0.555956678700361,0.48619201190771516,0.6237038821755998,0.05274092808504553,0.045803224884309136,0.06001449349567326,422.88909375000003,421.16708656250006,424.80186671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_nominal_bsp_0.4,nominal,bsp,0.4,20,80,0,0.12323852076971917,0.09790895393580228,0.14858097534744164,0.12809502306849102,0.1193942767908908,0.13709343429250337,3.028633382256049,2.920007888692059,3.1325860350688832,0.8664259927797834,0.8345864661654135,0.9,0.08215170409940445,0.07311783917224632,0.09171139399809144,50.79390000000001,50.63785015625,50.95816703125001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_nominal_rbsp_0.4,nominal,rbsp,0.4,20,80,9,0.09615518743638583,0.07087873209670628,0.12757613002815424,0.10533127126666772,0.09911925322522752,0.11366817831501798,3.196055398263775,3.091658982059143,3.290535023059714,0.7184115523465704,0.6892637163561076,0.75,0.06827726364820527,0.06179179328604336,0.07521506172767521,421.64040000000006,419.64238109375003,423.70357734375006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_alpha_low_bsp_0.05,alpha_low,bsp,0.05,20,80,0,0.0566850353422619,0.041009863475012405,0.07313588234230324,0.057292496151581565,0.05393166938960869,0.060590751955341006,3.6222359255482415,3.5227874221149404,3.7211589460430043,0.34296028880866425,0.28203971119133575,0.40302280731175577,0.03234687474368632,0.02588093646330737,0.03836099399791842,51.14813125,50.97284921875,51.341147812500004,0.15598958333333332,0.13514973958333334,0.17552083333333332,0.5197916666666667,0.4465234375,0.58986328125,0.0,0.0,0.0
robust_alpha_low_rbsp_0.05,alpha_low,rbsp,0.05,20,80,9,0.031140382151124336,0.021769915222490905,0.0411305687313988,0.03169784121935536,0.030692626921977446,0.032939055715571576,3.801315655005837,3.7369202256055676,3.854007055305513,0.19494584837545126,0.14538435140700068,0.25,0.018222071644920557,0.013358042506643268,0.0232734948776772,421.34529999999995,419.16901281250006,423.3341165625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_alpha_low_bsp_0.1,alpha_low,bsp,0.1,20,80,0,0.08492904485280997,0.05957525183410981,0.11826295967885127,0.08620332802360044,0.08128863135267539,0.09243384280538593,3.3194568811264475,3.203716514428803,3.4211976970996254,0.5415162454873647,0.4874411018484958,0.5926033591731266,0.05120421797250461,0.044846992352626076,0.05734810776274978,50.588162499999996,50.46273609375,50.721036562500004,0.12604166666666666,0.10416015625000001,0.14973958333333334,0.31796875,0.2622200520833334,0.38281901041666666,0.0,0.0,0.0
robust_alpha_low_rbsp_0.1,alpha_low,rbsp,0.1,20,80,9,0.03467224508429146,0.02628912814529978,0.04392625247428714,0.050590346057622596,0.04813660943920885,0.053303710005325876,3.5731888537790333,3.4915256960303465,3.6473533981627604,0.3971119133574007,0.3224616259872384,0.47213239138011154,0.03697944941868316,0.03026289890253386,0.043421407968179886,423.18885625,421.20200703125,425.32511124999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_alpha_low_bsp_0.2,alpha_low,bsp,0.2,20,80,0,0.11290881347466844,0.0879499590994657,0.139559763675254,0.11149653171586778,0.10420201840721796,0.12113176836635846,3.2143028439194183,3.087556818688315,3.3166860448216435,0.703971119133574,0.6594901534372357,0.7519539678734116,0.06667062255436759,0.05954225911126446,0.07437208286601478,50.611725,50.49528140625,50.74060734375,0.06640625,0.048951822916666665,0.08723958333333333,0.11328125,0.08020182291666668,0.15184244791666665,0.0,0.0,0.0
robust_alpha_low_rbsp_0.2,alpha_low,rbsp,0.2,20,80,9,0.07271784125244621,0.0509459284324121,0.09838342697777355,0.07470019285479115,0.07051281944754041,0.07918091419463086,3.343258269367861,3.237193951226963,3.439727273577092,0.555956678700361,0.48619201190771516,0.6237038821755998,0.05274092808504553,0.045803224884309136,0.06001449349567326,420.1332875,418.4327121875,421.96920218749995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
