condition,method,param,side,n_clusters,hit,hit_low,hit_high,peak,peak_low,peak_high,covered95,covered95_low,covered95_high,error_cells,error_cells_low,error_cells_high,logloss,logloss_low,logloss_high,ece,ece_low,ece_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,gate_us_p95,gate_us_p95_low,gate_us_p95_high,utility,utility_low,utility_high
move_true_0_none,none,1.0,8.0,10,0.5098592076663255,0.45040513598143,0.5742519422101438,0.49970754403829803,0.4517232987408063,0.5502415380886471,0.9817708333333334,0.9682291666666666,0.99375,1.2079047173210369,1.028038749042081,1.3833646572809966,1.594325679195577,1.3580437655225166,1.8229937295124043,0.10572796439572378,0.08036500453476629,0.13096440684508096,2.1844124999999996,2.168811875,2.204736875,2.58205375,2.5003588125,2.7175909062499994,1.0,1.0,1.0
move_true_0_random,random,0.5,8.0,10,0.19946949450155035,0.13300583902226915,0.27405865239591787,0.21312191970106348,0.15891850508109442,0.2713343462552449,0.959375,0.9317578125000001,0.9817708333333334,2.2999110294681495,2.075340840742869,2.524225855307957,2.8378628409942315,2.5623183787052612,3.1101318736780934,0.11038884413773178,0.09134774810005857,0.13087798657353664,2.1780375,2.1667,2.1900090624999997,2.53661375,2.4872334374999996,2.6011763749999997,0.42857142857142855,0.3725456389452333,0.4961614173228346
move_true_0_bsp,bsp,0.1,8.0,10,0.06488677041997357,0.0452637808986442,0.08410896680720903,0.07837014065862885,0.0759797306396224,0.08091259825158792,0.9635416666666666,0.9145833333333334,0.9937499999999998,2.530353727427472,2.248145291226387,2.8252357420802054,3.0671009336849915,2.9084406211614433,3.235228593197843,0.0440644417181435,0.03256445534730259,0.055709303832154736,17.544337500000005,17.382885625000004,17.740115,19.542185,18.664101468749998,20.559019499999998,0.4444444444444444,0.32406574740207833,0.5610489638730973
move_true_0.1_none,none,1.0,8.0,10,0.28043046678429845,0.23169073996244208,0.33200811564532573,0.2726606605206266,0.2484447306133162,0.3001395683571349,0.9697916666666666,0.95625,0.9833333333333334,1.509379520543315,1.3293583923976324,1.6878286671048388,2.3694780243376066,2.2117770826939025,2.5499060817184613,0.19278257698091866,0.16665844300678542,0.22131969208332625,2.2734,2.231075625,2.312525625,2.8010825,2.7048091249999997,2.89431309375,1.0,1.0,1.0
move_true_0.1_random,random,0.5,8.0,10,0.11004180882378964,0.07515104192509958,0.14789781892509313,0.12082600380955881,0.10004727029829466,0.14447088088365664,0.9427083333333333,0.9166536458333333,0.9703255208333333,2.583259747804941,2.3115027016238217,2.8581065713005245,3.3513714923338966,3.1454836744371106,3.567432138132918,0.1176455627729606,0.09006519396715511,0.1487202604396041,2.3583125,2.3281246874999995,2.3884396874999996,3.1804024999999996,2.904669906249999,3.47012478125,0.4222222222222222,0.3673469387755102,0.48612647492625366
move_true_0.1_bsp,bsp,0.1,8.0,10,0.08107877404153865,0.04809220608868968,0.11730299368326237,0.07480634085050493,0.07301915387662514,0.07670112290413839,0.9635416666666666,0.9380208333333334,0.9838541666666666,2.7510280891115118,2.3935078447497853,3.1411509385617307,3.2966662250704353,3.131678063403816,3.449958248373362,0.09866498005040372,0.07656959933700523,0.12918126569965574,17.629625,17.348349375,17.964116250000004,21.151269999999997,19.24150040625,24.129238249999997,0.45925925925925926,0.3247175141242938,0.5895616342746698
move_true_0.6_none,none,1.0,8.0,10,0.11465666281962769,0.09287883153787878,0.13648353989750583,0.10516924506096206,0.09351203817682689,0.11606099631063267,0.9677083333333334,0.9505208333333333,0.9822916666666666,2.272465089905198,2.123911337923748,2.4456329769981324,3.1649624452841403,3.0618183302728625,3.2775946847546846,0.0912826880427523,0.07935745377680706,0.10341819361616134,2.1786375,2.1624509375,2.1978628125000004,2.6128112499999996,2.5551340937499996,2.690284374999999,1.0,1.0,1.0
move_true_0.6_random,random,0.5,8.0,10,0.06807865243302355,0.05012895832177689,0.08463072633263498,0.061371635405889725,0.05477284140842616,0.06748380044658332,0.9682291666666666,0.9572916666666668,0.978125,2.9240714899649345,2.66582523684538,3.1941107933698265,3.5586621187688605,3.45053146169194,3.6598637166066683,0.06348730226792854,0.05312045297518271,0.07555530904175037,2.1858999999999997,2.1754243749999995,2.196825,2.5843137499999993,2.5335213750000003,2.6541694374999993,0.46206896551724136,0.4076503759398496,0.5147113696224758
move_true_0.6_bsp,bsp,0.1,8.0,10,0.045635051097815724,0.03227269086888227,0.05983022941877371,0.06013625648003279,0.05826461737476648,0.061880539059743896,0.9333333333333332,0.9083333333333334,0.9573046875000001,3.2167756940946868,2.9443356238931795,3.4813202355917037,3.652439611621515,3.5836775083336883,3.720993151462368,0.049884953128220326,0.04023989870564814,0.05757962492174077,17.4546875,17.372412500000003,17.574438750000002,19.18530875,18.766801749999996,19.757121781249996,0.5862068965517241,0.5163934426229508,0.6521739130434783
move_true_0.9_none,none,1.0,8.0,10,0.08567437340765079,0.06324666442464737,0.1076298276567922,0.08346598171747818,0.07544710572152219,0.09245369685272818,0.9593749999999999,0.9307291666666666,0.9791666666666666,2.484773007946543,2.2441288266657846,2.711058497667294,3.3239118930841576,3.1934687966626734,3.431513558500086,0.06696755569251717,0.05530444178630896,0.07978002169505138,2.2354249999999998,2.19476375,2.2849265625,2.8149612499999996,2.6717509374999997,2.968713875,1.0,1.0,1.0
